pre_tax_amount,tax,post_tax_amount,amount_tendered,change_due,state
1.99,0.1,2.09,3,0.91,Virginia
3.53,0.19,3.72,3.72,0,North Carolina
8.24,0.58,8.82,20,11.18,South Carolina
2.28,0.11,2.39,2.39,0,Georgia
1.09,0.07,1.16,2,0.84,Pennsylvania
3.04,0.15,3.19,20,16.81,South Carolina
10,0,10,20,10,Virginia
2.28,0.16,2.44,3,0.56,South Carolina
4.57,0.25,4.82,5,0.18,South Carolina
20,0,20,20,0,Virginia
0.89,0.06,0.95,1,0.05,South Carolina
2.07,0.12,2.19,3,0.81,Pennsylvania
5,0,5,20,15,North Carolina
41,0,41,41,0,Georgia
5.83,0.35,6.18,20,13.82,Pennsylvania
2.88,0.24,3.12,4,0.88,Tennessee
2.89,0.07,2.96,10,7.04,Virginia
2.87,0.26,3.13,3.13,0,Alabama
1.98,0.14,2.12,5.12,3,North Carolina
20,0,20,20,0,South Carolina
4.89,0.24,5.13,5.13,0,South Carolina
0.99,0.07,1.06,1.1,0.04,South Carolina
23.03,0,23.03,23.03,0,Georgia
1.29,0,1.29,5,3.71,Pennsylvania
15.5,0,15.5,15.5,0,Virginia
33,0,33,33,0,Georgia
29,0,29,29,0,North Carolina
13.7,0,13.7,13.7,0,South Carolina
28.96,0,28.96,28.96,0,Georgia
12.02,0,12.02,12.02,0,South Carolina
0.55,0,0.55,0.55,0,North Carolina
3.24,0.16,3.4,20,16.6,Virginia
42.79,0.15,42.94,100,57.06,South Carolina
7.64,0.33,7.97,8,0.03,Georgia
24.86,0.15,25.01,25.01,0,Georgia
30.53,0,30.53,30.53,0,Pennsylvania
7,0,7,7,0,Virginia
9,0,9,9,0,Alabama
49,0,49,49,0,Georgia
3,0,3,5,2,North Carolina
11.3,0,11.3,11.3,0,South Carolina
5,0,5,5,0,North Carolina
1.19,0.08,1.27,2,0.73,North Carolina
2.85,0.2,3.05,5,1.95,North Carolina
6.49,0.45,6.94,10,3.06,North Carolina
3.47,0.15,3.62,20,16.38,Georgia
20.53,0,20.53,20.53,0,Tennessee
5.26,0.37,5.63,6,0.37,South Carolina
6.23,0.21,6.44,50,43.56,South Carolina
7.01,0.09,7.1,7.1,0,North Carolina
0.99,0,0.99,1,0.01,Pennsylvania
5,0,5,5,0,Virginia
27,0,20,20,0,South Carolina
9.19,0.28,9.47,20,10.53,Virginia
50,0,50,50,0,North Carolina
15.01,0,15.01,20.05,5.04,Georgia
0.39,0.01,0.4,1,0.6,Georgia
1.19,0.08,1.27,2,0.73,South Carolina
1.99,0.16,2.15,3,0.85,Tennessee
1.29,0.11,1.4,2,0.6,Tennessee
11.55,0.46,12.01,12.01,0,North Carolina
0.99,0.07,1.06,1.06,0,South Carolina
3.69,0.26,3.95,4,0.05,North Carolina
48,0,48,48,0,North Carolina
0.85,0.02,0.87,1,0.13,North Carolina
76,0,76,76,0,Pennsylvania
16,0,16,16,0,Alabama
21.47,0,21.47,21.47,0,Virginia
40.5,0,40.5,100,59.5,Virginia
18.99,1.33,20.32,20.37,0.05,Georgia
1.98,0.06,2.04,10.04,8,Georgia
27.5,0,27.5,27.5,0,Virginia
22,0,22,22,0,Georgia
2.47,0.22,2.69,3,0.31,Alabama
2.88,0.06,2.94,5,2.06,Virginia
2.47,0.12,2.59,2.59,0,Georgia
3,0,3,3,0,Tennessee
50,0,50,50,0,South Carolina
4.35,0.22,4.57,5,0.43,North Carolina
2.47,0.18,2.65,3,0.35,South Carolina
21.99,1.54,19.53,20,0.47,Georgia
5.15,0.36,5.51,6,0.49,South Carolina
1.59,0.11,1.7,2,0.3,North Carolina
0.99,0.07,1.06,1.1,0.04,South Carolina
39,0,39,39,0,Georgia
13.5,0,13.5,13.5,0,Pennsylvania
4.53,0.27,4.8,4.8,0,Georgia
2.78,0.07,2.85,2.85,0,Virginia
24.92,0,24.92,24.92,0,Virginia
2.19,0.15,2.34,20,17.66,Georgia
10.49,0.52,11.01,20.01,9,South Carolina
1.19,0.07,1.26,20,18.74,Pennsylvania
15.01,0,15.01,15.01,0,North Carolina
50.19,0.18,0.37,0.37,0,Tennessee
0.75,0.02,0.77,0.77,0,Virginia
22.01,0,22.01,22.01,0,Georgia
8,0,8,8,0,South Carolina
2.94,0.21,3.15,3.15,0,North Carolina
18.99,1.33,20.32,21,0.68,South Carolina
8,0,8,8,0,Georgia
12.55,0.63,2,2,0,South Carolina
2.98,0.15,3.13,3.13,0,South Carolina
7.99,0.4,8.39,20,11.61,Virginia
27,0,27,27,0,South Carolina
9,0,9,9,0,Georgia
10,0.25,10.25,10.25,0,Virginia
12.16,0.85,13.01,13.01,0,Georgia
17.15,0,17.15,17.15,0,Alabama
5,0,5,5,0,Virginia
2.14,0.09,2.23,2.23,0,North Carolina
50,0,50,50,0,South Carolina
1.49,0.04,1.53,5,3.47,Georgia
1.39,0.03,1.42,1.42,0,North Carolina
5.38,0.24,5.62,5.62,0,Virginia
0.99,0.07,1.06,1.06,0,South Carolina
1,0.07,1.07,1.07,0,North Carolina
31.85,0,31.85,31.85,0,Alabama
11,0.06,11.06,20.06,9,Georgia
2.19,0.07,2.26,2.26,0,Georgia
10.98,0.66,11.64,20,8.36,Pennsylvania
37,0,37,37,0,North Carolina
0.25,0.02,0.27,1,0.73,Tennessee
2.28,0.07,2.35,3,0.65,Georgia
21.3,0,21.3,21.3,0,Tennessee
10.03,0,10.03,20,9.97,Georgia
2.08,0.19,2.27,3,0.73,Alabama
5,0,5,10,5,Virginia
43.35,0,43.35,43.35,0,Alabama
17,0,17,17,0,Alabama
20.01,0,20.01,20.01,0,Virginia
0.99,0.07,1.06,1.25,0.19,North Carolina
7.9,0.27,8.17,100,91.83,Tennessee
11.5,0,11.5,11.5,0,Georgia
17.97,0.9,18.87,20,1.13,South Carolina
23.95,1.68,25.63,30.75,5.12,Georgia
2.85,0.2,3.05,5.1,2.05,North Carolina
1.98,0.1,2.08,10.08,8,South Carolina
6.38,0.32,6.7,6.7,0,Virginia
3.59,0.32,3.91,5,1.09,Alabama
23.01,0,23.01,50.05,27.04,Tennessee
20.02,0,20.02,20.02,0,Virginia
500.69,0,500.69,501,0.31,North Carolina
36,0,36,36,0,South Carolina
5.58,0.5,6.08,6.08,0,Alabama
6.96,0,6.96,6.96,0,Alabama
5.58,0.28,5.86,10,4.14,South Carolina
4.29,0.11,4.4,7,2.6,Virginia
0.79,0.02,0.81,1,0.19,North Carolina
17,0,17,17,0,Virginia
30.97,0,30.97,31,0.03,Virginia
30,0,30,50,20,South Carolina
21,0,21,21,0,Georgia
25.02,0,25.02,25.02,0,Virginia
2.18,0.15,2.33,20,17.67,South Carolina
1.29,0.09,1.38,20,18.62,South Carolina
25.5,0,25.5,25.5,0,Virginia
6.19,0.18,6.37,6.37,0,North Carolina
4.84,0.24,5.08,10.1,5.02,South Carolina
4.83,0.28,5.11,6,0.89,Georgia
21.59,0,21.59,21.59,0,Georgia
32.45,0,32.45,32.45,0,South Carolina
6.12,0.07,6.19,6.19,0,North Carolina
0.89,0.03,0.92,0.92,0,Georgia
37,0,37,37,0,North Carolina
2.38,0.21,2.59,5,2.41,Alabama
30.01,0,30.01,30.01,0,Virginia
20,0,20,20,0,North Carolina
8.19,0.1,8.29,20,11.71,North Carolina
20,0,20,20,0,South Carolina
0.59,0.01,0.6,1,0.4,Georgia
0.59,0.04,0.63,0.63,0,Georgia
3.08,0.14,3.22,5,1.78,Georgia
22.56,0,22.56,22.56,0,Georgia
11,0,11,11,0,North Carolina
37.7,0,37.7,37.7,0,Georgia
