pre_tax_amount,tax,post_tax_amount,amount_tendered,change_due,state
13.97,0,13.97,13.97,0,Georgia
1.19,0.06,1.25,2,0.75,South Carolina
6.37,0.45,6.82,10,3.18,North Carolina
30.01,0,30.01,30.01,0,South Carolina
1.98,0.09,2.07,3,0.93,North Carolina
19.22,0,19.22,19.22,0,South Carolina
10,0,10,10,0,Georgia
50,0,50,50,0,Tennessee
2.44,0.11,2.55,3,0.45,North Carolina
5,0,5,5,0,Virginia
8,0,8,20,12,Pennsylvania
8,0,8,10,2,Georgia
70.09,0,70.09,70.09,0,South Carolina
10,0,10,10,0,Virginia
27.13,0,27.13,27.13,0,North Carolina
11.51,0.71,12.22,12.22,0,North Carolina
5.96,0.3,6.26,7,0.74,South Carolina
1.98,0.1,2.08,5,2.92,South Carolina
3.17,0.18,3.35,5,1.65,South Carolina
28.55,0,28.55,28.55,0,Tennessee
1,0.02,1.02,1.02,0,North Carolina
15,0,15,15,0,Georgia
0.08,0,-39.92,0,39.92,Pennsylvania
1.29,0.09,1.38,2,0.62,Georgia
0.79,0.06,0.85,1,0.15,South Carolina
20.25,0,20.25,20.25,0,Alabama
47,0,47,47,0,South Carolina
20,0,20,20,0,Georgia
31.3,0,31.3,31.35,0.05,Georgia
3.87,0.27,4.14,5,0.86,North Carolina
21.48,1.38,22.86,22.86,0,Georgia
5,0,5,5,0,South Carolina
1.98,0.14,2.12,2.12,0,North Carolina
3.24,0.23,3.47,4,0.53,Georgia
0.59,0.05,0.64,1,0.36,Tennessee
21.01,0,21.01,21.01,0,Pennsylvania
8,0,8,20,12,Georgia
21.3,0.04,21.34,21.34,0,Georgia
0.99,0.09,1.08,1.08,0,Virginia
1,0,1,1,0,Georgia
5.49,0.38,5.87,6,0.13,North Carolina
38,0,38,40,2,South Carolina
25,0,25,25,0,Virginia
28.52,0,28.52,28.52,0,Alabama
2.78,0.08,2.86,5,2.14,Georgia
10.01,0,10.01,20,9.99,North Carolina
21.19,0.02,21.21,21.21,0,Georgia
10,0,10,10,0,North Carolina
26,0,26,26,0,Georgia
1.38,0.03,1.41,5,3.59,Georgia
2.49,0,2.49,5,2.51,Pennsylvania
33.52,0,33.52,33.52,0,North Carolina
0.99,0.07,1.06,1.06,0,North Carolina
20,0,20,20,0,North Carolina
1.09,0.08,1.17,20,18.83,North Carolina
5,0.13,5.13,20,14.87,Virginia
20,0,20,20,0,Georgia
27.58,0,27.58,27.58,0,Virginia
28.62,0,28.62,28.62,0,Alabama
1.25,0,1.25,1.25,0,North Carolina
4.58,0.18,4.76,20,15.24,South Carolina
50,0,50,50,0,South Carolina
25.3,0,25.3,25.3,0,Tennessee
3.04,0,3.04,3.04,0,Georgia
3.88,0.27,4.15,5,0.85,North Carolina
14.09,0.42,14.51,14.51,0,Virginia
0.99,0.05,1.04,1.1,0.06,Virginia
4.87,0.44,5.31,5.31,0,Alabama
0.99,0.03,1.02,1.05,0.03,Georgia
0.99,0.02,1.01,2,0.99,Georgia
0.99,0.07,1.06,1.1,0.04,North Carolina
0.99,0.03,1.02,2,0.98,Georgia
31.35,0,31.35,31.35,0,Georgia
2.6,0.18,2.78,2.78,0,North Carolina
1,0,1,1,0,Pennsylvania
4.95,0,4.95,5,0.05,Tennessee
0.59,0.04,0.63,1,0.37,Georgia
1.98,0.14,2.12,5,2.88,South Carolina
11.01,0,11.01,11.01,0,Virginia
0.79,0.02,0.81,10,9.19,Virginia
17.03,0,17.03,17.03,0,Georgia
0.5,0.01,0.51,1,0.49,Virginia
1.09,0.08,1.17,1.25,0.08,Georgia
43.4,0,43.4,43.4,0,South Carolina
63.16,0,63.16,63.16,0,Georgia
6.19,0.03,6.22,6.22,0,Virginia
11.38,0.08,11.46,11.46,0,North Carolina
1.29,0.09,1.38,1.38,0,North Carolina
46,0,46,46,0,Tennessee
10.01,0,10.01,10.01,0,North Carolina
11.38,0.03,11.41,20,8.59,Virginia
4.58,0.23,4.81,5,0.19,Virginia
12.01,0.14,12.15,13,0.85,North Carolina
17.92,0,17.92,17.92,0,Georgia
10,0,10,10,0,South Carolina
1.19,0.08,1.27,1.27,0,North Carolina
12.19,0.07,12.26,12.26,0,Georgia
3.23,0,3.23,3.23,0,South Carolina
1.38,0.1,1.48,1.48,0,South Carolina
2.04,0.04,2.08,3,0.92,North Carolina
10.01,0,10.01,10.01,0,Georgia
20,0,20,20,0,Virginia
3.78,0.26,4.04,5,0.96,North Carolina
11.6,0,11.6,12,0.4,South Carolina
1.98,0.15,2.13,3,0.87,South Carolina
3.82,0.2,4.02,5,0.98,North Carolina
1.98,0.14,2.12,3,0.88,South Carolina
3.17,0.16,3.33,3.5,0.17,South Carolina
29.61,0,29.61,29.61,0,South Carolina
6.77,0.31,7.08,10,2.92,Virginia
30,0,30,30,0,Virginia
8.4,0,8.4,8.4,0,Georgia
9.56,0.67,10.23,10.23,0,South Carolina
1.29,0.03,1.32,2,0.68,Georgia
27.55,0.08,27.63,40,12.37,Pennsylvania
27,0,27,27,0,South Carolina
10.03,0,10.03,10.03,0,Georgia
30.81,0,30.81,30.81,0,Georgia
3.64,0.25,3.89,3.89,0,North Carolina
50,0,50,50,0,Virginia
2.15,0.15,2.3,2.3,0,South Carolina
14,0,14,14,0,Pennsylvania
1.99,0.1,2.09,10.1,8.01,South Carolina
10.95,0.57,11.52,20.52,9,South Carolina
5.97,0.42,6.39,6.39,0,North Carolina
1.49,0.04,1.53,2,0.47,Georgia
5.16,0.36,5.52,20,14.48,South Carolina
1.29,0.11,1.4,2,0.6,Tennessee
1.29,0.04,1.33,2,0.67,Georgia
30.02,0,30.02,30.02,0,North Carolina
4.99,0.1,5.09,10,4.91,Georgia
28.75,0,28.75,28.75,0,South Carolina
1.83,0.05,1.88,1.88,0,Virginia
37.99,0,37.99,40,2.01,Georgia
8.47,0.19,8.66,20,11.34,South Carolina
100.69,0,100.69,101,0.31,Virginia
2.44,0.15,2.59,2.59,0,Georgia
2.37,0.1,2.47,20,17.53,North Carolina
1.85,0.04,1.89,2,0.11,North Carolina
2.28,0.05,2.33,5,2.67,Georgia
1.29,0.04,1.33,1.45,0.12,Georgia
23.4,0,40,40,0,Alabama
1.29,0.04,1.33,2,0.67,Georgia
0.75,0.02,0.77,1,0.23,Georgia
6.59,0.46,7.05,7.05,0,Georgia
2,0,2,2,0,South Carolina
0.99,0.07,1.06,5,3.94,North Carolina
29.44,0,-10.56,0,10.56,South Carolina
2.08,0.15,2.23,5,2.77,South Carolina
7.98,0.21,8.19,8.2,0.01,North Carolina
3.28,0.3,3.58,5,1.42,Alabama
5,0.3,5.3,10,4.7,Pennsylvania
37.2,0,37.2,37.2,0,Tennessee
25,0,25,25,0,Pennsylvania
1.69,0.05,1.74,5,3.26,Georgia
3.58,0.25,3.83,5,1.17,North Carolina
1.19,0.06,1.25,1.25,0,South Carolina
61.98,0.28,62.26,62.26,0,North Carolina
32,0,32,32,0,South Carolina
0.69,0.06,0.75,1,0.25,Tennessee
20.16,1.01,21.17,30,8.83,Virginia
20,0,20,20,0,Virginia
2.68,0.19,2.87,20,17.13,North Carolina
1.69,0.12,1.81,5,3.19,South Carolina
1.09,0.1,1.19,2,0.81,Virginia
8.58,0.04,8.62,20,11.38,Virginia
35.39,0,35.39,35.39,0,Virginia
3.49,0.2,3.69,5,1.31,South Carolina
18.2,0.11,18.31,20.31,2,Alabama
2.89,0.2,3.09,5.1,2.01,North Carolina
5.08,0.25,5.33,17,11.67,Virginia
15.29,0.04,15.33,15.5,0.17,Georgia
20.01,0,20.01,20.01,0,Georgia
0.3,0.01,0.31,0.31,0,North Carolina
38.48,0.07,38.55,100,61.45,Georgia
50.5,0.52,1,1,0,South Carolina
14.79,0.02,14,14,0,Virginia
41.88,0.16,42.04,60,17.96,Tennessee
1.29,0.12,1.41,2,0.59,Tennessee
18.25,1.1,19.35,20,0.65,Georgia
10,0,10,10,0,North Carolina
12.58,0.18,12.76,20,7.24,North Carolina
1.49,0.04,1.53,5,3.47,Virginia
152.31,0,152.31,152.31,0,South Carolina
3.08,0.2,3.28,4,0.72,South Carolina
2.19,0.07,2.26,3,0.74,Pennsylvania
10.01,0,10.01,10.01,0,North Carolina
8,0,8,10,2,Tennessee
30,0,30,40,10,North Carolina
20.03,0,20.03,20.03,0,Virginia
2.94,0.21,3.15,20,16.85,North Carolina
26.71,0,26.71,26.71,0,South Carolina
9.36,0.84,0.2,0.2,0,Alabama
4,0,4,4,0,Georgia
2.97,0.21,3.18,5,1.82,North Carolina
21.22,0.08,21.3,21.3,0,Georgia
3.36,0.07,3.43,4,0.57,Georgia
20,0,20,20,0,North Carolina
17,0,17,20,3,Georgia
22,0,22,22,0,Pennsylvania
19.83,1.15,20.98,20.98,0,Georgia
50,0,50,50,0,Alabama
24.19,0.13,24.32,25,0.68,Georgia
3.98,0.16,4.14,4.14,0,Georgia
4,0,4,4,0,Virginia
25.8,0,25.8,25.8,0,Pennsylvania
33.76,0,33.76,33.76,0,South Carolina
3.84,0.19,4.03,5.03,1,South Carolina
1.49,0.13,1.62,5,3.38,Alabama
5.49,0.27,5.76,5.76,0,South Carolina
22.78,0,22.78,50,27.22,Georgia
4.87,0.43,5.3,6,0.7,Tennessee
0,0,20,20,0,Virginia
2.67,0.19,2.86,20,17.14,North Carolina
8.58,0.43,9.01,9.01,0,Virginia
1.29,0.04,1.33,1.33,0,Georgia
22.01,0,22.01,22.01,0,South Carolina
2.97,0.15,3.12,4,0.88,South Carolina
2.38,0.12,2.5,3,0.5,South Carolina
9.62,0.42,10.04,11,0.96,Virginia
10,0,10,20,10,South Carolina
2.68,0.19,2.87,2.87,0,North Carolina
15,0,15,15,0,North Carolina
17.99,1.08,19.07,19.07,0,Georgia
0.59,0.04,0.63,0.75,0.12,North Carolina
25.08,1.7,26.78,40,13.22,North Carolina
1.49,0.13,1.62,2,0.38,Alabama
11.96,1.08,13.04,20,6.96,Alabama
5.58,0.28,5.86,75,69.14,Virginia
7.62,0,7.62,7.62,0,Georgia
1.38,0.11,1.49,2,0.51,Tennessee
2.19,0.15,2.34,2.34,0,Georgia
0.99,0.09,1.08,2,0.92,Alabama
18.98,0.9,19.88,20,0.12,Pennsylvania
9.61,0.05,9.66,20,10.34,Virginia
34.25,0,34.25,35,0.75,Georgia
1.29,0.03,1.32,1.32,0,Georgia
6.26,0.37,6.63,6.63,0,North Carolina
9,0,9,20,11,South Carolina
65.02,0,65.02,65.02,0,Tennessee
1.59,0.05,1.64,1.64,0,Georgia
0.59,0.04,0.63,1,0.37,Georgia
44.3,0,44.3,44.3,0,South Carolina
21.78,0,24,24,0,North Carolina
1.88,0.17,2.05,5,2.95,Alabama
4.12,0.27,4.39,5,0.61,South Carolina
10,0,10,10,0,Georgia
3.68,0.26,3.94,5,1.06,North Carolina
10,0,10,10,0,South Carolina
31.75,0,31.75,31.75,0,South Carolina
1.19,0.08,1.27,5,3.73,North Carolina
5,0.13,5.13,5.15,0.02,Virginia
42,0,42,42,0,Alabama
1.15,0.03,1.18,2,0.82,Virginia
0.99,0.07,1.06,10.1,9.04,South Carolina
22.18,0.09,22.27,22.27,0,North Carolina
2.58,0.18,2.76,2.76,0,North Carolina
3.97,0.28,4.25,5.25,1,North Carolina
4.77,0.27,5.04,5.04,0,Georgia
3.04,0.15,3.19,4,0.81,Virginia
1.59,0.05,1.64,1.64,0,Georgia
45.01,0,45.01,45.01,0,South Carolina
50.69,0,50.69,50.75,0.06,Tennessee
2.28,0.07,2.35,3,0.65,Georgia
2.58,0.08,2.66,10,7.34,Georgia
84.01,0,84.01,84.01,0,Tennessee
0.9,0,0.9,0.9,0,Virginia
10,0,10,10,0,Tennessee
17.19,0.11,17.3,20,2.7,Alabama
11.09,0.07,11.16,20,8.84,Georgia
27.5,0,27.5,27.5,0,Georgia
0.89,0.06,0.95,1,0.05,South Carolina
3.16,0,3.16,4,0.84,Pennsylvania
12.9,0.2,13.1,13.1,0,North Carolina
25.85,0,25.85,25.85,0,Tennessee
1.09,0.1,1.19,1.19,0,Alabama
1.19,0.08,1.27,5,3.73,North Carolina
3.98,0.24,4.22,5,0.78,Georgia
1.19,0.02,1.21,20.01,18.8,North Carolina
5,0.25,5.25,5.25,0,South Carolina
0.99,0.02,1.01,3.45,2.44,Virginia
9.5,0,9.5,20,10.5,North Carolina
20,0,20,20,0,Georgia
23.39,0.06,23.45,25,1.55,Pennsylvania
1.29,0.09,1.38,5,3.62,South Carolina
20,0,20,20,0,South Carolina
0.99,0.05,1.04,1.1,0.06,South Carolina
5.2,0.36,5.56,5.56,0,North Carolina
2.58,0.18,2.76,3,0.24,South Carolina
3.19,0.22,3.41,25,21.59,Georgia
6,0,6,6,0,Virginia
0.69,0.05,0.74,0.74,0,North Carolina
2,0,2,5,3,South Carolina
6,0,6,20,14,North Carolina
0.79,0.02,0.81,0.85,0.04,North Carolina
5.05,0,5.05,5.05,0,Georgia
3.24,0.23,3.47,4,0.53,Georgia
22.15,0,22.15,30.15,8,Pennsylvania
2.65,0.19,2.84,2.84,0,North Carolina
30,0,30,30,0,Tennessee
17.99,1.66,19.65,19.65,0,Tennessee
2.48,0.06,2.54,10,7.46,Virginia
28.7,0,28.7,28.7,0,Georgia
0.3,0,0.3,0.3,0,Pennsylvania
24.53,0.21,24.74,50,25.26,Georgia
63.01,0,53,53,0,Virginia
37.4,0,40,40,0,South Carolina
1,0.02,1.02,1.02,0,North Carolina
1.19,0.08,1.27,2,0.73,North Carolina
1.18,0.02,1.2,1.2,0,Georgia
0.99,0.07,1.06,10.06,9,South Carolina
20.02,0,20.02,20.02,0,Tennessee
3.57,0.15,3.72,5,1.28,Virginia
13.01,0,13.01,13.01,0,South Carolina
27.79,0,27.79,27.79,0,Pennsylvania
3.89,0.1,3.99,4,0.01,Virginia
0.75,0,0.75,1,0.25,Pennsylvania
10.01,0,10.01,11,0.99,Georgia
5,0,5,5,0,Tennessee
14.01,0,14.01,20.01,6,Tennessee
1.59,0.13,1.72,2,0.28,Tennessee
3.17,0.29,3.46,10,6.54,Alabama
5,0,5,5,0,Virginia
2.94,0.18,3.12,3.12,0,Georgia
15.33,1.07,16.4,16.4,0,North Carolina
28.83,0,28.83,28.83,0,Pennsylvania
2.19,0.05,2.24,2.24,0,Virginia
3.78,0,3.78,3.78,0,Virginia
5,0,5,5,0,Virginia
10.05,0,10.05,10.05,0,Alabama
27,0,27,27,0,Georgia
2.99,0,2.99,3,0.01,Pennsylvania
8.97,0.45,9.42,10,0.58,South Carolina
7.25,0.36,7.61,20,12.39,South Carolina
2.58,0.21,2.79,20,17.21,Tennessee
0.99,0.07,0.11,0.11,0,North Carolina
3.88,0.19,4.07,5.1,1.03,Virginia
19.19,0.29,19.48,19.48,0,North Carolina
21.29,0,21.29,21.29,0,Pennsylvania
41.01,0,41.01,41.01,0,Tennessee
33.13,0,60,60,0,North Carolina
10,0,10,10,0,Virginia
40.9,0,40.9,40.9,0,Virginia
2.24,0.11,2.35,3,0.65,South Carolina
45.68,1.28,46.96,46.96,0,South Carolina
1.78,0.12,1.9,1.9,0,North Carolina
2.29,0.16,2.45,5,2.55,Georgia
20,0,20,20,0,Alabama
1.29,0.09,1.38,2,0.62,South Carolina
6.52,0.33,6.85,6.85,0,South Carolina
5,0,5,5,0,South Carolina
0.79,0.06,0.85,1,0.15,South Carolina
1.88,0.1,1.98,2,0.02,Georgia
2.38,0.05,2.43,2.5,0.07,North Carolina
28.05,0,28.05,28.05,0,South Carolina
10.02,0,10.02,10.02,0,Virginia
8,0,8,8,0,Georgia
36.38,0,36.38,36.38,0,South Carolina
3.14,0.22,3.36,10,6.64,South Carolina
25,0,25,25,0,Pennsylvania
10,0,10,20,10,North Carolina
5.43,0.27,5.7,6,0.3,Virginia
0.59,0.04,0.63,0.75,0.12,South Carolina
5,0,5,5,0,North Carolina
1.59,0.11,1.7,1.7,0,South Carolina
3.89,0.36,4.25,5,0.75,Tennessee
1.29,0.04,1.33,20,18.67,Georgia
1.09,0.08,1.17,1.17,0,Georgia
45.39,0,45.39,45.39,0,North Carolina
7.03,0,7,7,0,Alabama
0.59,0.04,0.63,0.63,0,South Carolina
13.29,0.11,2.4,3,0.6,South Carolina
50,0,50,60,10,Alabama
7.76,0.37,8.13,20.03,11.9,Virginia
0,0,6,6,0,South Carolina
1.98,0.18,2.16,2.21,0.05,Alabama
27.35,0,27.35,30,2.65,Georgia
19.75,0,19.75,20,0.25,Georgia
7,0,7,20,13,Virginia
1.18,0.08,1.26,1.26,0,South Carolina
39.98,2.4,20,20,0,Pennsylvania
47,0,47,47,0,North Carolina
50,0,50,50,0,Tennessee
32.19,0.11,32.3,35,2.7,Alabama
1,0,1,1,0,Georgia
21.49,1.5,22.99,23,0.01,South Carolina
0.85,0.02,0.87,0.9,0.03,North Carolina
1.29,0.09,1.38,10,8.62,South Carolina
-7.49,-0.37,-7.86,0,7.86,South Carolina
27.01,0,27.01,27.01,0,Virginia
14.04,0.16,14.2,20,5.8,North Carolina
4,0,4,10,6,South Carolina
25,0,25,25,0,Pennsylvania
56.74,0,56.74,56.74,0,Alabama
5.84,0,5.84,5.84,0,Virginia
5.01,0,5.01,5.01,0,Georgia
2.64,0.18,1.82,2,0.18,North Carolina
15,0,15,15,0,North Carolina
40.46,0,40.46,40.46,0,North Carolina
22.52,0,22.52,22.52,0,Virginia
0.85,0.04,0.89,1,0.11,South Carolina
8.94,0.8,9.74,10,0.26,Alabama
1.19,0.03,1.22,1.22,0,Virginia
19.99,1.2,21.19,21.19,0,Georgia
3.88,0.35,4.23,4.23,0,Alabama
3.37,0.1,3.47,3.62,0.15,Georgia
4.56,0.32,4.88,20,15.12,South Carolina
1.15,0.02,1.17,1.17,0,North Carolina
1.59,0.11,1.7,1.75,0.05,South Carolina
1.29,0.06,1.35,2,0.65,Virginia
8,0,8,10,2,South Carolina
15,0,15,20,5,South Carolina
2.48,0.2,2.68,3,0.32,Tennessee
24,0,24,24,0,South Carolina
2.08,0.15,2.23,3,0.77,Georgia
12.25,0,12.25,12.25,0,Georgia
35.6,0,35.6,35.6,0,South Carolina
77.97,2.16,80.13,100,19.87,Georgia
8,0,8,10,2,North Carolina
6.19,0.11,6.3,6.5,0.2,Alabama
17.93,0.84,18.77,20,1.23,Georgia
1.99,0.12,2.11,2.11,0,Georgia
24,0,24,24,0,Alabama
20,0,20,20,0,North Carolina
30.1,0,30.1,30.1,0,Georgia
22.69,0.08,22.77,23,0.23,Georgia
5.17,0.26,5.43,6,0.57,South Carolina
1.19,0.08,1.27,2,0.73,South Carolina
7.38,0.52,7.9,8,0.1,North Carolina
42.29,0,42.29,42.29,0,North Carolina
1.78,0.11,1.89,20,18.11,South Carolina
6.32,0.32,6.64,6.64,0,South Carolina
6.67,0.47,7.14,10,2.86,North Carolina
5.26,0,5.26,5.26,0,Virginia
3.28,0.1,3.38,5,1.62,Georgia
6.07,0.32,6.39,20,13.61,Georgia
20.02,0,20.02,20.02,0,North Carolina
10.01,0,10.01,10.01,0,South Carolina
0.3,0.03,0.33,0.33,0,Tennessee
0.69,0.01,0.7,1,0.3,North Carolina
13.83,0.41,14.24,100.04,85.8,Georgia
5.38,0.48,5.86,6,0.14,Alabama
3,0,3,3,0,South Carolina
20.02,0,20.02,20.02,0,South Carolina
4.23,0.25,4.48,5,0.52,Virginia
10,0,10,10,0,Georgia
1,0,1,1,0,Virginia
2.18,0.07,2.25,5,2.75,Georgia
2.08,0.06,2.14,10,7.86,Georgia
9.16,0.52,9.68,10,0.32,Georgia
19.56,0.57,20.13,21,0.87,Virginia
10,0,10,100,90,North Carolina
149.23,0,149.23,149.23,0,North Carolina
37,0,37,37,0,Pennsylvania
14.16,0.71,14.87,20,5.13,South Carolina
33,0,33,100,67,Tennessee
2.49,0.17,2.66,20,17.34,South Carolina
15,0,15,20,5,Virginia
0.59,0.04,0.63,1,0.37,South Carolina
16,0,16,16,0,Virginia
10.92,0.9,11.82,20,8.18,Tennessee
4.99,0.35,5.34,10,4.66,North Carolina
5,0.25,5.25,20.25,15,South Carolina
5,0,5,5,0,North Carolina
3.96,0.2,4.16,10,5.84,Virginia
4.25,0.11,4.36,4.36,0,Virginia
5,0,5,5,0,North Carolina
13.09,0.31,13.4,20.5,7.1,Georgia
14,0,14,14,0,Tennessee
7.88,0.55,8.43,20,11.57,Georgia
50,0,50,50,0,Georgia
1.78,0.08,1.86,5,3.14,Pennsylvania
11.2,0.06,11.26,20,8.74,South Carolina
53,0,53,53,0,North Carolina
1.49,0.03,1.52,2,0.48,North Carolina
5,0,5,50,45,Georgia
1.69,0.08,1.77,2,0.23,South Carolina
30.55,0.52,30.07,40.1,10.03,South Carolina
10.03,0.46,10.49,11,0.51,Pennsylvania
15,0,15,20,5,Tennessee
16.79,0.09,16.88,20,3.12,South Carolina
20.21,0,20.21,20.21,0,Virginia
50,0,50,50,0,Georgia
2.97,0.15,3.12,10,6.88,South Carolina
20,0,20,20,0,Tennessee
5.27,0.13,5.4,20,14.6,Virginia
5.98,0.42,6.4,7,0.6,Georgia
2.28,0.07,2.35,2.35,0,Georgia
0.85,0.02,0.87,1,0.13,North Carolina
5.77,0.3,6.07,7,0.93,Georgia
15.59,0.08,21.17,22,0.83,South Carolina
0.99,0.09,1.08,1.25,0.17,Virginia
15,0,15,15,0,Virginia
20,0,20,20,0,North Carolina
33.02,0.03,1.32,20,18.68,North Carolina
45.98,3.22,45.2,45.2,0,Georgia
25,0,25,25,0,Tennessee
0.69,0.05,0.74,1,0.26,North Carolina
1.49,0,1.49,2,0.51,Pennsylvania
203.13,0,203.13,203.13,0,South Carolina
3.24,0.23,3.47,5.47,2,Georgia
31.09,0.13,31.22,31.22,0,Virginia
0.99,0.07,1.06,2,0.94,Georgia
33.86,0,33.86,33.86,0,South Carolina
42,0,42,42,0,North Carolina
1.19,0.08,1.27,1.27,0,North Carolina
3.95,0.28,4.23,10,5.77,Georgia
20.01,0,0.01,0.01,0,Georgia
32.4,0,32.4,32.4,0,Georgia
5,0.35,5.35,5.35,0,North Carolina
17.05,0,17.05,17.05,0,Alabama
0.79,0.02,0.81,1,0.19,Virginia
4,0,4,4,0,Georgia
5.98,0.42,6.4,10,3.6,Georgia
6.25,0,6.25,7,0.75,South Carolina
2,0,2,2,0,South Carolina
2.9,0.14,3.04,3.04,0,South Carolina
8.19,0.11,8.3,10.3,2,Virginia
4.54,0.27,4.81,5,0.19,Pennsylvania
25.95,0,25.95,25.95,0,Virginia
16.59,0.25,16.84,20,3.16,North Carolina
10.01,0,10.01,11,0.99,South Carolina
10,0.5,10.5,10.5,0,South Carolina
26.9,0,26.9,26.9,0,South Carolina
48.25,0,48.25,48.25,0,South Carolina
2,0,2,2,0,North Carolina
27,0,27,27,0,Virginia
0.89,0.02,0.91,1,0.09,Georgia
4.19,0.29,4.48,4.48,0,Georgia
8.58,0.51,9.09,20,10.91,Pennsylvania
0.79,0.04,0.83,1,0.17,South Carolina
1,0,1,1,0,Virginia
27.08,0,27.08,27.08,0,Pennsylvania
7.58,0.42,8,20,12,Pennsylvania
20.33,0,20.33,30,9.67,North Carolina
32.76,0,32.76,32.76,0,South Carolina
16.47,0.44,16.91,16.91,0,North Carolina
2.28,0.07,2.35,3,0.65,Georgia
0.99,0.02,1.01,1.01,0,North Carolina
19.01,0,19.01,20.01,1,South Carolina
12.58,0.88,13.46,20,6.54,North Carolina
0.99,0.07,1.06,2,0.94,South Carolina
2.59,0.08,2.67,5.75,3.08,Georgia
5.78,0,5.78,20,14.22,Pennsylvania
28.85,0,28.85,28.85,0,Georgia
39.27,0,39.27,39.27,0,Georgia
5.07,0.25,5.32,6,0.68,Virginia
31.15,0,31.15,31.15,0,Georgia
16.29,0.03,16.32,20.35,4.03,Georgia
21.38,0,21.38,21.38,0,South Carolina
5.83,0.35,6.18,6.18,0,Pennsylvania
30.75,0,30.75,30.75,0,Virginia
0.99,0.09,1.08,1.1,0.02,Virginia
11.64,0.81,12.45,20,7.55,North Carolina
10.01,0,10.01,11,0.99,South Carolina
23.49,1.44,24.93,25,0.07,Georgia
3.49,0.09,3.58,10,6.42,Virginia
5.09,0.36,5.45,5.45,0,Georgia
0.15,0,0.15,0.25,0.1,Pennsylvania
23.01,0,23.01,23.01,0,North Carolina
26,0,26,50,24,South Carolina
5,0,5,20,15,Georgia
1.29,0.04,1.33,5.5,4.17,Georgia
10,0,10,10,0,South Carolina
25,0,25,25,0,North Carolina
31.63,0,31.63,31.63,0,Georgia
2.19,0.15,2.34,2.34,0,North Carolina
1.29,0.12,1.41,2,0.59,Tennessee
1.29,0.08,1.37,2,0.63,Pennsylvania
4.13,0.29,4.42,20,15.58,South Carolina
0.99,0.07,1.06,2,0.94,South Carolina
22.99,1.15,24.14,40,15.86,South Carolina
5.01,0,5,5,0,Virginia
2,0,2,10,8,Georgia
20,0,20,20,0,Georgia
-11.59,-0.81,-12.4,0,12.4,North Carolina
15,0,15,15,0,South Carolina
3,0.25,3.25,10,6.75,Tennessee
2.37,0.17,2.54,3,0.46,South Carolina
1.59,0.05,1.64,2,0.36,Georgia
4.73,0.24,4.97,5,0.03,Virginia
22,0,22,22,0,North Carolina
3.19,0.1,3.29,5,1.71,Georgia
20,0,20,20,0,Virginia
15.17,0.27,15.44,20,4.56,Virginia
25.99,1.82,27.81,50,22.19,South Carolina
20,0,20,20,0,Virginia
30.98,2.17,33.15,40,6.85,South Carolina
4.47,0.31,4.78,10,5.22,Georgia
0.99,0.07,1.06,1.06,0,North Carolina
8.64,0.28,8.92,9,0.08,Virginia
18.68,1.31,19.99,19.99,0,North Carolina
0.25,0.02,0.27,1,0.73,North Carolina
114,0,114,114,0,North Carolina
2,0,2,2,0,Virginia
20,0,20,20,0,Pennsylvania
21.29,0.04,21.33,22,0.67,Georgia
4.97,0.35,5.32,20.02,14.7,North Carolina
15,0,15,15,0,Virginia
2.84,0.16,3,3,0,North Carolina
23.98,1.68,25.66,26,0.34,Georgia
3.87,0.35,4.22,4.22,0,Alabama
2,0,2,2,0,South Carolina
1.69,0.02,1.71,5,3.29,Pennsylvania
4.27,0.38,4.65,20,15.35,Tennessee
1.68,0,1.68,1.68,0,Alabama
19.16,0,19.16,19.16,0,Tennessee
36,0,36,36,0,Virginia
2.79,0.2,2.99,5,2.01,Georgia
6,0,6,6,0,Virginia
11.58,0.28,11.86,20,8.14,Virginia
20,0,20,20,0,Georgia
22.5,0,22.5,22.5,0,Virginia
50,0,50,50,0,North Carolina
20,0,20,20,0,Virginia
12.36,0,12.36,12.36,0,South Carolina
1.38,0.04,1.42,20,18.58,Georgia
9.85,0.69,10.54,11,0.46,North Carolina
40,0,40,40,0,Pennsylvania
8.04,0,8.04,8.04,0,Georgia
8.97,0.34,9.31,9.31,0,Virginia
23,0,23,23,0,Pennsylvania
2.97,0.21,3.18,3.18,0,North Carolina
28.01,0,28.01,28.01,0,Georgia
7.69,0.19,7.88,10,2.12,North Carolina
11.25,0,11.25,12,0.75,Georgia
1.98,0.1,2.08,3,0.92,South Carolina
40.69,0,40.69,40.69,0,Virginia
3.29,0.16,3.45,10,6.55,Virginia
20.02,0,0.02,1,0.98,Georgia
20,0,20,20,0,Virginia
28.19,0.06,28.25,40,11.75,Virginia
6.49,0,6.49,20.49,14,Georgia
15,0,15,15,0,South Carolina
20,0,20,20,0,Alabama
20.09,0,20.09,20.09,0,Tennessee
1.59,0,1.59,2,0.41,Pennsylvania
5,0,5,5,0,Tennessee
25,0,25,25,0,Pennsylvania
28.27,0.19,28.46,29,0.54,North Carolina
4.57,0.28,4.85,20,15.15,North Carolina
4.04,0.24,4.28,10,5.72,Pennsylvania
2.99,0.07,3.06,4,0.94,Virginia
45.76,0,45.76,45.76,0,South Carolina
0.05,0,0.05,0.05,0,North Carolina
1.99,0.14,2.13,2.13,0,South Carolina
